Country,year,value,group
Benin,1962,90,low-income
Burkina Faso,1962,80,low-income
Burundi,1962,70,low-income
Cen. African Rep.,1962,80,low-income
Chad,1962,110,low-income
"Congo, Dem. Rep.",1962,230,low-income
Kenya,1962,100,low-income
Liberia,1962,160,low-income
Madagascar,1962,130,low-income
Malawi,1962,50,low-income
Nepal,1962,60,low-income
Niger,1962,150,low-income
Rwanda,1962,40,low-income
Togo,1962,90,low-income
Zimbabwe,1962,270,low-income
Benin,1963,100,low-income
Burkina Faso,1963,80,low-income
Burundi,1963,80,low-income
Cen. African Rep.,1963,80,low-income
Chad,1963,110,low-income
"Congo, Dem. Rep.",1963,270,low-income
Kenya,1963,100,low-income
Liberia,1963,160,low-income
Madagascar,1963,130,low-income
Malawi,1963,50,low-income
Nepal,1963,50,low-income
Niger,1963,160,low-income
Rwanda,1963,40,low-income
Togo,1963,90,low-income
Zimbabwe,1963,280,low-income
Benin,1964,110,low-income
Burkina Faso,1964,80,low-income
Burundi,1964,80,low-income
Cen. African Rep.,1964,80,low-income
Chad,1964,110,low-income
"Congo, Dem. Rep.",1964,230,low-income
Kenya,1964,110,low-income
Liberia,1964,190,low-income
Madagascar,1964,140,low-income
Malawi,1964,50,low-income
Nepal,1964,50,low-income
Niger,1964,160,low-income
Rwanda,1964,40,low-income
Sierra Leone,1964,170,low-income
Togo,1964,100,low-income
Zimbabwe,1964,260,low-income
Benin,1965,110,low-income
Burkina Faso,1965,80,low-income
Burundi,1965,70,low-income
Cen. African Rep.,1965,90,low-income
Chad,1965,120,low-income
"Congo, Dem. Rep.",1965,230,low-income
Kenya,1965,110,low-income
Liberia,1965,200,low-income
Madagascar,1965,140,low-income
Malawi,1965,60,low-income
Nepal,1965,60,low-income
Niger,1965,170,low-income
Rwanda,1965,40,low-income
Sierra Leone,1965,170,low-income
Togo,1965,110,low-income
Zimbabwe,1965,280,low-income
Benin,1966,110,low-income
Burkina Faso,1966,80,low-income
Burundi,1966,60,low-income
Cen. African Rep.,1966,90,low-income
Chad,1966,120,low-income
"Congo, Dem. Rep.",1966,220,low-income
Kenya,1966,120,low-income
Liberia,1966,210,low-income
Madagascar,1966,150,low-income
Malawi,1966,60,low-income
Nepal,1966,70,low-income
Niger,1966,170,low-income
Rwanda,1966,40,low-income
Sierra Leone,1966,170,low-income
Togo,1966,120,low-income
Zimbabwe,1966,290,low-income
Benin,1967,120,low-income
Burkina Faso,1967,90,low-income
Burundi,1967,60,low-income
Cen. African Rep.,1967,100,low-income
Chad,1967,130,low-income
"Congo, Dem. Rep.",1967,220,low-income
Kenya,1967,120,low-income
Liberia,1967,220,low-income
Madagascar,1967,160,low-income
Malawi,1967,70,low-income
Nepal,1967,80,low-income
Niger,1967,170,low-income
Rwanda,1967,50,low-income
Sierra Leone,1967,160,low-income
Togo,1967,120,low-income
Zimbabwe,1967,300,low-income
Benin,1968,120,low-income
Burkina Faso,1968,90,low-income
Burundi,1968,50,low-income
Cen. African Rep.,1968,100,low-income
Chad,1968,130,low-income
"Congo, Dem. Rep.",1968,220,low-income
Gambia,1968,110,low-income
Kenya,1968,130,low-income
Liberia,1968,230,low-income
Madagascar,1968,170,low-income
Malawi,1968,60,low-income
Nepal,1968,80,low-income
Niger,1968,170,low-income
Rwanda,1968,50,low-income
Sierra Leone,1968,150,low-income
Togo,1968,130,low-income
Zimbabwe,1968,300,low-income
Benin,1969,120,low-income
Burkina Faso,1969,90,low-income
Burundi,1969,50,low-income
Cen. African Rep.,1969,110,low-income
Chad,1969,140,low-income
"Congo, Dem. Rep.",1969,230,low-income
Gambia,1969,110,low-income
Kenya,1969,140,low-income
Liberia,1969,240,low-income
Madagascar,1969,170,low-income
Malawi,1969,60,low-income
Mali,1969,60,low-income
Nepal,1969,80,low-income
Niger,1969,150,low-income
Rwanda,1969,50,low-income
Sierra Leone,1969,160,low-income
Togo,1969,140,low-income
Zimbabwe,1969,340,low-income
Benin,1970,120,low-income
Burkina Faso,1970,90,low-income
Burundi,1970,70,low-income
Cen. African Rep.,1970,110,low-income
Chad,1970,140,low-income
"Congo, Dem. Rep.",1970,250,low-income
Gambia,1970,110,low-income
Kenya,1970,130,low-income
Liberia,1970,250,low-income
Madagascar,1970,180,low-income
Malawi,1970,60,low-income
Mali,1970,70,low-income
Nepal,1970,80,low-income
Niger,1970,150,low-income
Rwanda,1970,60,low-income
Sierra Leone,1970,170,low-income
Togo,1970,130,low-income
Zimbabwe,1970,400,low-income
Benin,1971,120,low-income
Burkina Faso,1971,90,low-income
Burundi,1971,70,low-income
Cen. African Rep.,1971,110,low-income
Chad,1971,140,low-income
"Congo, Dem. Rep.",1971,270,low-income
Gambia,1971,120,low-income
Kenya,1971,160,low-income
Liberia,1971,260,low-income
Madagascar,1971,180,low-income
Malawi,1971,80,low-income
Mali,1971,70,low-income
Nepal,1971,80,low-income
Niger,1971,160,low-income
Rwanda,1971,60,low-income
Sierra Leone,1971,180,low-income
Togo,1971,130,low-income
Zimbabwe,1971,420,low-income
Benin,1972,130,low-income
Burkina Faso,1972,90,low-income
Burundi,1972,70,low-income
Cen. African Rep.,1972,120,low-income
Chad,1972,150,low-income
"Congo, Dem. Rep.",1972,290,low-income
Gambia,1972,120,low-income
Guinea-Bissau,1972,130,low-income
Kenya,1972,190,low-income
Liberia,1972,280,low-income
Madagascar,1972,190,low-income
Malawi,1972,80,low-income
Mali,1972,80,low-income
Nepal,1972,80,low-income
Niger,1972,160,low-income
Rwanda,1972,60,low-income
Sierra Leone,1972,180,low-income
Togo,1972,140,low-income
Zimbabwe,1972,460,low-income
Bangladesh,1973,120,low-income
Benin,1973,160,low-income
Burkina Faso,1973,110,low-income
Burundi,1973,80,low-income
Cen. African Rep.,1973,140,low-income
Chad,1973,160,low-income
"Congo, Dem. Rep.",1973,360,low-income
Gambia,1973,150,low-income
Guinea-Bissau,1973,130,low-income
Kenya,1973,200,low-income
Liberia,1973,290,low-income
Madagascar,1973,210,low-income
Malawi,1973,100,low-income
Mali,1973,90,low-income
Nepal,1973,90,low-income
Niger,1973,160,low-income
Rwanda,1973,70,low-income
Sierra Leone,1973,200,low-income
Togo,1973,170,low-income
Zimbabwe,1973,550,low-income
Bangladesh,1974,150,low-income
Benin,1974,190,low-income
Burkina Faso,1974,140,low-income
Burundi,1974,100,low-income
Cen. African Rep.,1974,160,low-income
Chad,1974,190,low-income
"Congo, Dem. Rep.",1974,430,low-income
Gambia,1974,190,low-income
Guinea-Bissau,1974,150,low-income
Kenya,1974,230,low-income
Liberia,1974,340,low-income
Madagascar,1974,260,low-income
Malawi,1974,120,low-income
Mali,1974,100,low-income
Nepal,1974,100,low-income
Niger,1974,210,low-income
Rwanda,1974,80,low-income
Sierra Leone,1974,240,low-income
Togo,1974,220,low-income
Zimbabwe,1974,680,low-income
Bangladesh,1975,200,low-income
Benin,1975,200,low-income
Burkina Faso,1975,160,low-income
Burundi,1975,110,low-income
Cen. African Rep.,1975,180,low-income
Chad,1975,230,low-income
"Congo, Dem. Rep.",1975,460,low-income
Gambia,1975,240,low-income
Guinea-Bissau,1975,160,low-income
Kenya,1975,250,low-income
Liberia,1975,370,low-income
Madagascar,1975,310,low-income
Malawi,1975,130,low-income
Mali,1975,130,low-income
Nepal,1975,120,low-income
Niger,1975,240,low-income
Rwanda,1975,100,low-income
Sierra Leone,1975,270,low-income
Togo,1975,260,low-income
Zimbabwe,1975,740,low-income
Bangladesh,1976,200,low-income
Benin,1976,210,low-income
Burkina Faso,1976,170,low-income
Burundi,1976,120,low-income
Cen. African Rep.,1976,200,low-income
Chad,1976,220,low-income
"Congo, Dem. Rep.",1976,430,low-income
Gambia,1976,240,low-income
Guinea-Bissau,1976,150,low-income
Kenya,1976,250,low-income
Liberia,1976,410,low-income
Madagascar,1976,300,low-income
Malawi,1976,130,low-income
Mali,1976,150,low-income
Nepal,1976,120,low-income
Niger,1976,220,low-income
Rwanda,1976,130,low-income
Sierra Leone,1976,240,low-income
Togo,1976,270,low-income
Zimbabwe,1976,720,low-income
Bangladesh,1977,170,low-income
Benin,1977,230,low-income
Burkina Faso,1977,170,low-income
Burundi,1977,140,low-income
Cen. African Rep.,1977,240,low-income
Chad,1977,230,low-income
"Congo, Dem. Rep.",1977,460,low-income
Gambia,1977,250,low-income
Guinea-Bissau,1977,140,low-income
Kenya,1977,280,low-income
Liberia,1977,430,low-income
Madagascar,1977,310,low-income
Malawi,1977,130,low-income
Mali,1977,170,low-income
Nepal,1977,120,low-income
Niger,1977,240,low-income
Rwanda,1977,160,low-income
Sierra Leone,1977,230,low-income
Togo,1977,290,low-income
Zimbabwe,1977,670,low-income
Bangladesh,1978,160,low-income
Benin,1978,250,low-income
Burkina Faso,1978,200,low-income
Burundi,1978,150,low-income
Cen. African Rep.,1978,270,low-income
Chad,1978,240,low-income
"Congo, Dem. Rep.",1978,510,low-income
Gambia,1978,280,low-income
Guinea-Bissau,1978,160,low-income
Kenya,1978,330,low-income
Liberia,1978,470,low-income
Madagascar,1978,310,low-income
Malawi,1978,150,low-income
Mali,1978,180,low-income
Nepal,1978,120,low-income
Niger,1978,290,low-income
Rwanda,1978,180,low-income
Sierra Leone,1978,260,low-income
Togo,1978,330,low-income
Zimbabwe,1978,660,low-income
Bangladesh,1979,190,low-income
Benin,1979,310,low-income
Burkina Faso,1979,250,low-income
Burundi,1979,180,low-income
Cen. African Rep.,1979,300,low-income
Chad,1979,220,low-income
"Congo, Dem. Rep.",1979,610,low-income
Gambia,1979,330,low-income
Guinea-Bissau,1979,170,low-income
Kenya,1979,400,low-income
Liberia,1979,520,low-income
Madagascar,1979,390,low-income
Malawi,1979,170,low-income
Mali,1979,230,low-income
Nepal,1979,130,low-income
Niger,1979,360,low-income
Rwanda,1979,230,low-income
Sierra Leone,1979,330,low-income
Togo,1979,350,low-income
Zimbabwe,1979,740,low-income
Bangladesh,1980,220,low-income
Benin,1980,390,low-income
Burkina Faso,1980,300,low-income
Burundi,1980,220,low-income
Cen. African Rep.,1980,340,low-income
Chad,1980,240,low-income
"Congo, Dem. Rep.",1980,650,low-income
Gambia,1980,400,low-income
Guinea-Bissau,1980,140,low-income
Kenya,1980,460,low-income
Liberia,1980,520,low-income
Madagascar,1980,460,low-income
Malawi,1980,190,low-income
Mali,1980,260,low-income
Nepal,1980,140,low-income
Niger,1980,420,low-income
Rwanda,1980,270,low-income
Sierra Leone,1980,390,low-income
Togo,1980,420,low-income
Zimbabwe,1980,920,low-income
Bangladesh,1981,250,low-income
Benin,1981,410,low-income
Burkina Faso,1981,300,low-income
Burundi,1981,250,low-income
Cen. African Rep.,1981,340,low-income
Chad,1981,230,low-income
"Congo, Dem. Rep.",1981,570,low-income
Gambia,1981,410,low-income
Guinea-Bissau,1981,180,low-income
Kenya,1981,450,low-income
Liberia,1981,500,low-income
Madagascar,1981,430,low-income
Malawi,1981,190,low-income
Mali,1981,250,low-income
Nepal,1981,160,low-income
Niger,1981,410,low-income
Rwanda,1981,280,low-income
Sierra Leone,1981,380,low-income
Togo,1981,390,low-income
Zimbabwe,1981,1080,low-income
Bangladesh,1982,230,low-income
Benin,1982,360,low-income
Burkina Faso,1982,280,low-income
Burundi,1982,240,low-income
Cen. African Rep.,1982,330,low-income
Chad,1982,210,low-income
Comoros,1982,380,low-income
"Congo, Dem. Rep.",1982,490,low-income
Gambia,1982,350,low-income
Guinea-Bissau,1982,190,low-income
Kenya,1982,400,low-income
Liberia,1982,440,low-income
Madagascar,1982,390,low-income
Malawi,1982,180,low-income
Mali,1982,210,low-income
Mozambique,1982,280,low-income
Nepal,1982,160,low-income
Niger,1982,360,low-income
Rwanda,1982,270,low-income
Sierra Leone,1982,370,low-income
Togo,1982,320,low-income
Zimbabwe,1982,1060,low-income
Bangladesh,1983,210,low-income
Benin,1983,290,low-income
Burkina Faso,1983,240,low-income
Burundi,1983,230,low-income
Cen. African Rep.,1983,260,low-income
Chad,1983,200,low-income
Comoros,1983,330,low-income
"Congo, Dem. Rep.",1983,420,low-income
Ethiopia,1983,210,low-income
Gambia,1983,320,low-income
Guinea-Bissau,1983,180,low-income
Kenya,1983,340,low-income
Liberia,1983,360,low-income
Madagascar,1983,360,low-income
Malawi,1983,170,low-income
Mali,1983,190,low-income
Mozambique,1983,230,low-income
Nepal,1983,150,low-income
Niger,1983,290,low-income
Rwanda,1983,260,low-income
Sierra Leone,1983,320,low-income
Togo,1983,250,low-income
Zimbabwe,1983,970,low-income
Bangladesh,1984,210,low-income
Benin,1984,270,low-income
Burkina Faso,1984,210,low-income
Burundi,1984,220,low-income
Cen. African Rep.,1984,270,low-income
Chad,1984,180,low-income
Comoros,1984,310,low-income
"Congo, Dem. Rep.",1984,350,low-income
Ethiopia,1984,200,low-income
Gambia,1984,300,low-income
Guinea-Bissau,1984,180,low-income
Kenya,1984,320,low-income
Liberia,1984,360,low-income
Madagascar,1984,320,low-income
Malawi,1984,170,low-income
Mali,1984,180,low-income
Mozambique,1984,230,low-income
Nepal,1984,160,low-income
Niger,1984,220,low-income
Rwanda,1984,250,low-income
Sierra Leone,1984,310,low-income
Togo,1984,230,low-income
Uganda,1984,180,low-income
Zimbabwe,1984,840,low-income
Bangladesh,1985,220,low-income
Benin,1985,260,low-income
Burkina Faso,1985,210,low-income
Burundi,1985,240,low-income
Cen. African Rep.,1985,280,low-income
Chad,1985,210,low-income
Comoros,1985,310,low-income
"Congo, Dem. Rep.",1985,270,low-income
Ethiopia,1985,190,low-income
Gambia,1985,270,low-income
Guinea-Bissau,1985,190,low-income
Kenya,1985,310,low-income
Liberia,1985,360,low-income
Madagascar,1985,300,low-income
Malawi,1985,160,low-income
Mali,1985,160,low-income
Mozambique,1985,260,low-income
Nepal,1985,170,low-income
Niger,1985,220,low-income
Rwanda,1985,260,low-income
Sierra Leone,1985,260,low-income
Togo,1985,230,low-income
Uganda,1985,190,low-income
Zimbabwe,1985,740,low-income
Bangladesh,1986,240,low-income
Benin,1986,270,low-income
Burkina Faso,1986,240,low-income
Burundi,1986,240,low-income
Cen. African Rep.,1986,330,low-income
Chad,1986,210,low-income
Comoros,1986,350,low-income
"Congo, Dem. Rep.",1986,260,low-income
Ethiopia,1986,230,low-income
Gambia,1986,230,low-income
Guinea-Bissau,1986,150,low-income
Kenya,1986,340,low-income
Liberia,1986,350,low-income
Madagascar,1986,300,low-income
Malawi,1986,150,low-income
Mali,1986,200,low-income
Mozambique,1986,310,low-income
Nepal,1986,180,low-income
Niger,1986,250,low-income
Rwanda,1986,300,low-income
Sierra Leone,1986,190,low-income
Togo,1986,250,low-income
Uganda,1986,250,low-income
Zimbabwe,1986,690,low-income
Bangladesh,1987,260,low-income
Benin,1987,310,low-income
Burkina Faso,1987,270,low-income
Burundi,1987,250,low-income
Cen. African Rep.,1987,400,low-income
Chad,1987,210,low-income
Comoros,1987,440,low-income
"Congo, Dem. Rep.",1987,250,low-income
Ethiopia,1987,280,low-income
Gambia,1987,300,low-income
Guinea-Bissau,1987,170,low-income
Kenya,1987,380,low-income
Liberia,1987,360,low-income
Madagascar,1987,280,low-income
Malawi,1987,150,low-income
Mali,1987,240,low-income
Mozambique,1987,280,low-income
Nepal,1987,190,low-income
Niger,1987,280,low-income
Rwanda,1987,320,low-income
Sierra Leone,1987,190,low-income
Togo,1987,310,low-income
Uganda,1987,310,low-income
Zimbabwe,1987,700,low-income
Bangladesh,1988,270,low-income
Benin,1988,360,low-income
Burkina Faso,1988,330,low-income
Burundi,1988,250,low-income
Cen. African Rep.,1988,470,low-income
Chad,1988,270,low-income
Comoros,1988,550,low-income
"Congo, Dem. Rep.",1988,260,low-income
Ethiopia,1988,270,low-income
Gambia,1988,310,low-income
Guinea,1988,430,low-income
Guinea-Bissau,1988,180,low-income
Kenya,1988,410,low-income
Liberia,1988,390,low-income
Madagascar,1988,260,low-income
Malawi,1988,160,low-income
Mali,1988,270,low-income
Mozambique,1988,220,low-income
Nepal,1988,210,low-income
Niger,1988,340,low-income
Rwanda,1988,350,low-income
Sierra Leone,1988,190,low-income
Togo,1988,390,low-income
Uganda,1988,390,low-income
Zimbabwe,1988,810,low-income
Bangladesh,1989,280,low-income
Benin,1989,340,low-income
Burkina Faso,1989,330,low-income
Burundi,1989,220,low-income
Cen. African Rep.,1989,480,low-income
Chad,1989,270,low-income
Comoros,1989,540,low-income
"Congo, Dem. Rep.",1989,250,low-income
Ethiopia,1989,250,low-income
Gambia,1989,310,low-income
Guinea,1989,420,low-income
Guinea-Bissau,1989,200,low-income
Kenya,1989,400,low-income
Liberia,1989,280,low-income
Madagascar,1989,230,low-income
Malawi,1989,160,low-income
Mozambique,1989,180,low-income
Nepal,1989,220,low-income
Niger,1989,330,low-income
Rwanda,1989,350,low-income
Sierra Leone,1989,220,low-income
Togo,1989,400,low-income
Uganda,1989,400,low-income
Zimbabwe,1989,840,low-income
Bangladesh,1990,290,low-income
Benin,1990,360,low-income
Burkina Faso,1990,330,low-income
Burundi,1990,210,low-income
Cen. African Rep.,1990,480,low-income
Chad,1990,270,low-income
Comoros,1990,570,low-income
"Congo, Dem. Rep.",1990,240,low-income
Ethiopia,1990,250,low-income
Gambia,1990,320,low-income
Guinea,1990,430,low-income
Guinea-Bissau,1990,210,low-income
Kenya,1990,380,low-income
Madagascar,1990,240,low-income
Malawi,1990,180,low-income
Mali,1990,290,low-income
Mozambique,1990,170,low-income
Nepal,1990,220,low-income
Niger,1990,310,low-income
Rwanda,1990,350,low-income
Sierra Leone,1990,200,low-income
Tanzania,1990,200,low-income
Togo,1990,400,low-income
Uganda,1990,320,low-income
Zimbabwe,1990,860,low-income
Bangladesh,1991,300,low-income
Benin,1991,380,low-income
Burkina Faso,1991,360,low-income
Burundi,1991,210,low-income
Cen. African Rep.,1991,470,low-income
Chad,1991,290,low-income
Comoros,1991,550,low-income
"Congo, Dem. Rep.",1991,220,low-income
Ethiopia,1991,240,low-income
Gambia,1991,410,low-income
Guinea,1991,430,low-income
Guinea-Bissau,1991,230,low-income
Kenya,1991,350,low-income
Madagascar,1991,220,low-income
Malawi,1991,210,low-income
Mali,1991,290,low-income
Mozambique,1991,180,low-income
Nepal,1991,220,low-income
Niger,1991,300,low-income
Rwanda,1991,330,low-income
Sierra Leone,1991,190,low-income
Tanzania,1991,180,low-income
Togo,1991,400,low-income
Uganda,1991,240,low-income
Zimbabwe,1991,850,low-income
Bangladesh,1992,310,low-income
Benin,1992,360,low-income
Burkina Faso,1992,320,low-income
Burundi,1992,200,low-income
Cen. African Rep.,1992,470,low-income
Chad,1992,330,low-income
Comoros,1992,650,low-income
"Congo, Dem. Rep.",1992,200,low-income
Ethiopia,1992,220,low-income
Gambia,1992,550,low-income
Guinea,1992,460,low-income
Guinea-Bissau,1992,230,low-income
Kenya,1992,330,low-income
Kyrgyz Rep.,1992,520,low-income
Madagascar,1992,230,low-income
Malawi,1992,200,low-income
Mali,1992,340,low-income
Mozambique,1992,150,low-income
Nepal,1992,210,low-income
